dates,diamonds,butter,cars,cucumber,bananas
2000-01-03,,,,,
2000-01-04,,,,,
2000-01-05,,,,,
2000-01-06,,,,,
2000-01-07,,,,,
2000-01-10,,,,,
2000-01-11,,,,,
2000-01-12,,,,,
2000-01-13,,,,,
2000-01-14,,,,,
2000-01-17,,,,,
2000-01-18,,,,,
2000-01-19,,,,,
2000-01-20,,,,,
2000-01-21,,,,,
2000-01-24,,,,,
2000-01-25,,,,,
2000-01-26,,,,,
2000-01-27,,,,,
2000-01-28,,,,,
2000-01-31,,,,,
2000-02-01,,,,,
2000-02-02,,,,,
2000-02-03,,,,,
2000-02-04,,,,,
2000-02-07,,,,,
2000-02-08,,,,,
2000-02-09,,,,,
2000-02-10,,,,,
2000-02-11,,,,,
2000-02-14,,,,,
2000-02-15,,,,,
2000-02-16,,,,,
2000-02-17,,,,,
2000-02-18,,,,,
2000-02-21,,,,,
2000-02-22,,,,,
2000-02-23,,,,,
2000-02-24,,,,,
2000-02-25,,,,,
2000-02-28,,,,,
2000-02-29,,,,,
2000-03-01,,,,,
2000-03-02,,,,,
2000-03-03,,,,,
2000-03-06,,,,,
2000-03-07,,,,,
2000-03-08,,,,,
2000-03-09,,,,,
2000-03-10,,,,,
2000-03-13,,,,,
2000-03-14,,,,,
2000-03-15,,,,,
2000-03-16,,,,,
2000-03-17,,,,,
2000-03-20,,,,,
2000-03-21,,,,,
2000-03-22,,,,,
2000-03-23,,,,,
2000-03-24,,,,,
2000-03-27,,,,,
2000-03-28,,,,,
2000-03-29,,,,,
2000-03-30,,,,,
2000-03-31,,,,,
2000-04-03,,,,,
2000-04-04,,,,,
2000-04-05,,,,,
2000-04-06,,,,,
2000-04-07,,,,,
2000-04-10,,,,,
2000-04-11,,,,,
2000-04-12,,,,,
2000-04-13,,,,,
2000-04-14,,,,,
2000-04-17,,,,,
2000-04-18,,,,,
2000-04-19,,,,,
2000-04-20,,,,,
2000-04-21,,,,,
2000-04-24,,,,,
2000-04-25,,,,,
2000-04-26,,,,,
2000-04-27,,,,,
2000-04-28,,,,,
2000-05-01,,,,,
2000-05-02,,,,,
2000-05-03,,,,,
2000-05-04,,,,,
2000-05-05,,,,,
2000-05-08,,,,,
2000-05-09,,,,,
2000-05-10,,,,,
2000-05-11,,,,,
2000-05-12,,,,,
2000-05-15,,,,,
2000-05-16,,,,,
2000-05-17,,,,,
2000-05-18,,,,,
2000-05-19,,,,,
2000-05-22,0.6459666451115122,0.5027479945951258,0.46504250857200624,1.0746220430606084,0.24117873821515626
2000-05-23,0.6488512621691638,0.5050639035156341,0.4673154351318697,1.0792203403082032,0.24215040662989246
2000-05-24,0.6543542786379705,0.5086054848803254,0.46727762868315886,1.0822529836642218,0.24022575377877697
2000-05-25,0.6559861134772356,0.5087128766036038,0.4670726846703842,1.084989326361508,0.2399616483627595
2000-05-26,0.6537450362063312,0.5082970464552686,0.46509952673302724,1.085021897739592,0.24418657836747884
2000-05-29,0.6508375615910258,0.5096329616250189,0.4645328765709439,1.0913805248015704,0.24047341140074271
2000-05-30,0.6482635136376717,0.5102557526911505,0.4652111928418108,1.0933337395676357,0.23971188221581582
2000-05-31,0.6476389184845327,0.5101345696445002,0.46374552786729367,1.075383834344438,0.2393062356890538
2000-06-01,0.6513430724647843,0.5097090222302866,0.46629219270591565,1.0752321438231947,0.23556291379973743
2000-06-02,0.669633765447506,0.51079844869582,0.4623324620725871,1.0815811415647203,0.23172976067385131
2000-06-05,0.6725358662432782,0.5206875177421567,0.4662415590621988,1.088467974780089,0.23177130229912155
2000-06-06,0.6772351367006172,0.5175708894551875,0.4660832769728479,1.089504337831203,0.22401082962627203
2000-06-07,-0.6730827074062933,0.5277119066669457,0.45874750048844026,1.133775917341033,0.22444387912644317
2000-06-08,0.6808663025833871,0.5280952207224014,0.45536457738709507,1.1329635566068772,0.22485693033312826
2000-06-09,-0.6829253407283029,0.5288556341915526,0.4556614973560393,1.1526812725552222,0.22563917258878427
2000-06-12,-0.6808801909600505,0.5288556341915522,0.4583265253253043,-1.1530858113893139,0.2245257537777353
2000-06-13,-0.6808587274634101,0.5181283165305376,0.4593146307640711,1.1401018908985716,0.21336568756264934
2000-06-14,-0.6806870925313284,0.5184915277896506,0.4624019016911438,1.142794454137925,0.2133515704567943
2000-06-15,-0.6935142955008177,0.5206659911932291,-0.46170423492306273,1.142540073689158,0.21358563384102872
2000-06-16,-0.7010399438821402,0.5214454687969085,-0.4569825526510101,1.1432065975330805,0.2137829355889972
2000-06-19,-0.6988017820927833,0.5249491380094045,-0.45377632732447076,1.1496516249913225,0.21371055303363323
2000-06-20,-0.6980014120303651,0.537879103169755,-0.4533568572406708,1.1537003291964945,0.21072096008789817
2000-06-21,-0.7044932040838712,0.5523957339370023,-0.45312018031371676,1.1468176471460858,0.20639313058691416
2000-06-22,-0.7063175590843052,0.5496851665964382,-0.46282068453394265,1.1788830362105036,0.20564351714514478
2000-06-23,-0.7020685611739519,0.5497715534717714,-0.46231595932027103,1.200541614462238,0.2057388493291203
2000-06-26,-0.704696787139897,0.5515170320040513,-0.462746398812099,1.2003435394679112,0.20469924107383783
2000-06-27,-0.7069516223322619,0.5489222480959557,-0.459629642400999,1.2078360599228573,0.20584347160626557
2000-06-28,-0.7181749394936426,0.548139686079609,-0.44778066578000736,1.2195593532960278,0.20593114347047942
2000-06-29,-0.7258193763732225,0.5482936560417507,-0.4501881363560618,1.2252730779412262,0.20773457005820609
2000-06-30,-0.7248571431487727,0.5562404620136355,-0.4503985448354206,1.2263755019106075,0.20814184329355045
2000-07-03,-0.7228872430156253,0.5504821327823872,-0.4504714279684994,1.2559563675877792,0.20879456829031415
2000-07-04,-0.7230882931948983,0.5472027702251498,-0.45707252487585337,1.2545797338647238,0.20847763006471468
