AsOfDate,Io_Bonds,Europa_Bonds,Callisto_Bonds,Ganymede_Bonds,Io_Stocks,Europa_Stocks,Callisto_Stocks,Ganymede_Stocks,Europa_Io_FX,Callisto_Io_FX,Ganymede_Io_FX,Oil,Copper,Gold
1990-01-02,,,,,,,,,,,,,,
1990-01-03,,,,,,,,,,,,,,
1990-01-04,,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,,
1990-01-15,,,,,,,,,,,,,,
1990-01-16,,,,,,,,,,,,,,
1990-01-17,,,,,,,,,,,,,,
1990-01-18,,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,,
1990-01-22,,,,,,,,,,,,,,
1990-01-23,,,,,,,,,,,,,,
1990-01-24,,,,,,,,,,,,,,
1990-01-25,,,,,,,,,,,,,,
1990-01-26,,,,,,,,,,,,,,
1990-01-29,,,,,,,,,,,,,,
1990-01-30,,,,,,,,,,,,,,
1990-01-31,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,
1990-02-02,,,,,,,,,,,,,,
1990-02-05,,,,,,,,,,,,,,
1990-02-06,,,,,,,,,,,,,,
1990-02-07,,,,,,,,,,,,,,
1990-02-08,,,,,,,,,,,,,,
1990-02-09,,,,,,,,,,,,,,
1990-02-12,,,,,,,,,,,,,,
1990-02-13,,,,,,,,,,,,,,
1990-02-14,,,,,,,,,,,,,,
1990-02-15,,,,,,,,,,,,,,
1990-02-16,,,,,,,,,,,,,,
1990-02-19,,,,,,,,,,,,,,
1990-02-20,,,,,,,,,,,,,,
1990-02-21,,,,,,,,,,,,,,
1990-02-22,,,,,,,,,,,,,,
1990-02-23,,,,,,,,,,,,,,
1990-02-26,,,,,,,,,,,,,,
1990-02-27,,,,,,,,,,,,,,
1990-02-28,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,,,
1990-03-02,,,,,,,,,,,,,,
1990-03-05,,,,,,,,,,,,,,
1990-03-06,,,,,,,,,,,,,,
1990-03-07,,,,,,,,,,,,,,
1990-03-08,,,,,,,,,,,,,,
1990-03-09,,,,,,,,,,,,,,
1990-03-12,,,,,,,,,,,,,,
1990-03-13,,,,,,,,,,,,,,
1990-03-14,,,,,,,,,,,,,,
1990-03-15,,,,,,,,,,,,,,
1990-03-16,,,,,,,,,,,,,,
1990-03-19,,,,,,,,,,,,,,
1990-03-20,,,,,,,,,,,,,,
1990-03-21,,,,,,,,,,,,,,
1990-03-22,,,,,,,,,,,,,,
1990-03-23,,,,,,,,,,,,,,
1990-03-26,,,,,,,,,,,,,,
1990-03-27,,,,,,,,,,,,,,
1990-03-28,,,,,,,,,,,,,,
1990-03-29,,,,,,,,,,,,,,
1990-03-30,,,,,,,,,,,,,,
1990-04-02,,,,,,,,,,,,,,
1990-04-03,,,,,,,,,,,,,,
1990-04-04,,,,,,,,,,,,,,
1990-04-05,,,,,,,,,,,,,,
1990-04-06,,,,,,,,,,,,,,
1990-04-09,,,,,,,,,,,,,,
1990-04-10,,,,,,,,,,,,,,
1990-04-11,,,,,,,,,,,,,,
1990-04-12,,,,,,,,,,,,,,
1990-04-13,,,,,,,,,,,,,,
1990-04-16,,,,,,,,,,,,,,
1990-04-17,,,,,,,,,,,,,,
1990-04-18,,,,,,,,,,,,,,
1990-04-19,,,,,,,,,,,,,,
1990-04-20,,,,,,,,,,,,,,
1990-04-23,,,,,,,,,,,,,,
1990-04-24,,,,,,,,,,,,,,
1990-04-25,,,,,,,,,,,,,,
1990-04-26,,,,,,,,,,,,,,
1990-04-27,,,,,,,,,,,,,,
1990-04-30,,,,,,,,,,,,,,
1990-05-01,,,,,,,,,,,,,,
1990-05-02,,,,,,,,,,,,,,
1990-05-03,,,,,,,,,,,,,,
1990-05-04,,,,,,,,,,,,,,
1990-05-07,,,,,,,,,,,,,,
1990-05-08,,,,,,,,,,,,,,
1990-05-09,,,,,,,,,,,,,,
1990-05-10,,,,,,,,,,,,,,
1990-05-11,,,,,,,,,,,,,,
1990-05-14,,,,,,,,,,,,,,
1990-05-15,,,,,,,,,,,,,,
1990-05-16,,,,,,,,,,,,,,
1990-05-17,,,,,,,,,,,,,,
1990-05-18,,,,,,,,,,,,,,
1990-05-21,,,,,,,,,,,,,,
1990-05-22,-144.4426563111817,166.54652528997227,143.64647555598063,177.49206943861162,47.06667972609179,-21.73783739014667,93.79649894715799,-74.41911470690296,187.15722122196627,163.3217045614588,-138.75755862094942,-31.704258799238772,50.258617675623384,-190.14816716647854
1990-05-23,143.48504993795856,167.3056479738034,144.36790612073952,177.4399814000618,47.245211600705254,-21.846624109641592,93.1314476490389,-74.59454299967507,187.15817296694834,163.6894839567049,135.7968551247137,-31.84968273523457,49.891072730854816,-190.7659372821788
1990-05-24,143.55788656042688,167.7307259336596,143.63927762515524,177.29548672181915,47.2709831273867,-22.449247224509513,93.29086145668539,-74.57869917465004,187.41713603984053,164.02844984460796,136.39760424589295,-31.75143807437202,50.196923415753076,-183.50242504627164
1990-05-25,143.5415162668017,168.5987208691239,143.57265175847044,179.46238877396158,47.33375421262329,-22.7225398429014,93.35489128423536,-74.79630948406825,207.44680708015423,171.78617828031403,141.66657047432776,-31.684066536505494,50.11530687915677,-183.5497087436657
1990-05-28,-142.7072062141117,-169.01136456258445,-143.50308439125223,178.79877458239716,47.56735096108909,-22.766647871553985,-93.1836524615758,-74.74216817443953,208.79657126894114,171.81343042821803,141.71925963275763,-31.80825482935642,50.055438878010285,-187.82706794251536
1990-05-29,-142.7790081386312,169.01189224585593,-144.6212002817802,179.3328348957536,47.780451501129576,-22.888528364155523,93.30213185639666,74.4816101700079,0.0,175.41233412635984,141.77827727530916,-34.69585648311158,50.18344435005999,-187.82989977338553
1990-05-30,-142.53004317570776,168.74636743628793,145.35140487218038,185.80892543747134,47.174162287841064,-22.969032865630854,92.46939069828348,73.78000112108424,213.16272144280362,175.07998290155538,141.26544935004114,-34.97699599393241,49.83811604314321,-188.04302006685242
1990-05-31,-142.21407722987237,168.65802711388065,145.1401221224915,186.2117444298194,47.19070016018361,-23.144469806040714,90.42713115166805,73.60986222920613,212.56328372957242,175.70810477398192,141.45298348480182,-36.06254384175502,-50.03434640153261,-192.2030292675762
1990-06-01,-142.19986086992427,-168.74324708623854,144.96361974499908,186.56026735434546,47.16614152411767,-23.206276154279244,90.42413377810885,73.67810097919927,210.26712088361012,171.75986982808604,140.95002257650643,-35.43535810696801,50.100532127887526,-191.97499027479648
1990-06-04,138.22748864319993,167.71619433954947,143.6380656139467,193.56383551398056,50.348500819516865,-23.168484425697294,91.98607400821065,73.73261013919624,210.40681068776922,171.96329922035213,140.91700896235656,-35.438260251967606,50.5930090568235,-191.43964603563646
1990-06-05,138.2274927721177,168.00938683753301,145.16436115287982,193.26773695050235,49.63699415265006,-23.2205374827678,91.9949388741206,73.65694516857529,209.81893072724515,171.61752806121513,140.00215394455878,-35.25172327845289,50.57201631617747,-191.01021467823384
1990-06-06,139.92184925611483,-168.38026947306346,144.97185095416864,205.43673257192452,49.6572860974838,-23.87623250854651,92.29775237405472,74.93753667248467,210.7930768475575,170.39225202598033,140.12698969136807,-35.15513933185626,50.46047018596229,-194.24071993659987
1990-06-07,139.93242663734065,-168.39332381544378,145.11143407902378,205.07855252630952,49.95923402237178,-23.717575897890296,92.7896075103575,74.99421808535575,211.32945117638127,170.71442021779217,140.1269963748617,-35.34383455976658,50.461778551165395,-193.7458403011804
1990-06-08,142.90296999073007,-169.57090825335123,145.8419563360397,215.61447069575402,49.96407264768384,-23.832347716726446,94.81235144552446,75.15932655607386,218.3476527373406,171.16265688481758,140.9357180408226,-35.41510588628222,50.474671228689616,-192.9372554679578
1990-06-11,143.57827610240028,-168.68062736002017,146.7821021126464,217.65640461318387,49.513013623709405,-23.7776311775455,93.96072790134166,75.12585216747243,-218.06714215288014,170.8494806357331,140.5052248584505,-35.78713158874578,-51.105059525083554,-192.98860127290567
1990-06-12,143.57856595428171,-168.61390897839846,147.440420736365,216.84959139293014,52.83213485437215,-23.742199102411217,94.06549641908849,74.95974877918593,219.49091011016563,171.7897875140184,139.88865098740638,-35.89399220726618,-50.744775379607844,-195.39452833960218
1990-06-13,143.7721079342486,-168.5728021107191,146.5094506312609,217.22816579886108,52.44200533888375,-23.851287685110034,93.6221842413289,74.98605262100995,227.87673979660957,169.79421661476366,140.17631359055997,-35.13249785622011,-50.71150618624581,-198.035868353415
1990-06-14,144.86321056698856,-168.5093183967715,145.17333564845836,219.9794608320684,52.59198345656214,-24.39202657585088,92.8459589511811,75.4765378243116,226.61826583275237,168.800786692544,140.25140621691358,-35.13064311244595,-50.649478656325265,-198.03975647554847
1990-06-15,145.00435788485436,-168.68100052985645,143.41580094774446,226.37578588197815,53.885016762900754,-24.68160422686333,93.37336208881956,75.39750661562537,225.98513684234462,169.33561953016329,141.96413367678196,-35.62883512912097,50.68127674063947,-195.72813451397286
1990-06-18,144.7141517872656,-168.65216170866606,142.7112315403601,226.65734132703105,53.88624044918617,-24.687437781088295,93.21212140868863,75.38984784509456,225.01865951405827,169.70253937256552,143.50242563103845,-35.68300296859095,-50.53462034766417,-196.2874730875867
1990-06-19,144.3693656680485,-169.17484421912076,141.72450260383835,226.92202177400816,52.726956205947786,-24.771413308314504,93.18436455812547,75.26498688283152,224.52000398160098,173.3196468774211,143.52690173753516,-35.345607101403886,50.343266923449534,-196.5534879838345
1990-06-20,144.53230981955915,-169.7501841728968,142.01190139494935,228.1806530207976,52.694722069826945,-24.320912865705488,93.223822872297,75.17339976289892,229.29922297610324,173.3893832365892,146.88491687216356,-35.45645605912226,50.38726808574711,-196.45321595404812
1990-06-21,145.89373642970804,-169.32785074886488,139.07251681888306,231.29122614565713,53.632336311674216,-24.3029047280536,93.36251431648338,75.10032933413643,-231.39217819697026,174.670947647743,146.98446093757582,-35.50380658649187,50.14381476099693,-198.3829092797519
1990-06-22,145.82592421369927,-169.3251161251656,138.784022414679,236.97565148659606,53.46183472318931,-24.615015729252946,93.36323910643634,75.03116602708722,-232.43482153232839,174.80313009716153,146.78412386502126,-35.46122224488693,50.19244498597492,-198.96958433551941
