AsOfDate,Io_Bonds,Europa_Bonds,Callisto_Bonds,Ganymede_Bonds,Io_Stocks,Europa_Stocks,Callisto_Stocks,Ganymede_Stocks,Europa_Io_FX,Callisto_Io_FX,Ganymede_Io_FX,Oil,Copper,Gold
1990-01-02,,,,,,,,,,,,,,
1990-01-03,,,,,,,,,,,,,,
1990-01-04,,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,,
1990-01-15,,,,,,,,,,,,,,
1990-01-16,,,,,,,,,,,,,,
1990-01-17,,,,,,,,,,,,,,
1990-01-18,,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,,
1990-01-22,,,,,,,,,,,,,,
1990-01-23,,,,,,,,,,,,,,
1990-01-24,,,,,,,,,,,,,,
1990-01-25,,,,,,,,,,,,,,
1990-01-26,,,,,,,,,,,,,,
1990-01-29,,,,,,,,,,,,,,
1990-01-30,,,,,,,,,,,,,,
1990-01-31,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,
1990-02-02,,,,,,,,,,,,,,
1990-02-05,,,,,,,,,,,,,,
1990-02-06,,,,,,,,,,,,,,
1990-02-07,,,,,,,,,,,,,,
1990-02-08,,,,,,,,,,,,,,
1990-02-09,,,,,,,,,,,,,,
1990-02-12,,,,,,,,,,,,,,
1990-02-13,,,,,,,,,,,,,,
1990-02-14,,,,,,,,,,,,,,
1990-02-15,,,,,,,,,,,,,,
1990-02-16,,,,,,,,,,,,,,
1990-02-19,,,,,,,,,,,,,,
1990-02-20,,,,,,,,,,,,,,
1990-02-21,,,,,,,,,,,,,,
1990-02-22,,,,,,,,,,,,,,
1990-02-23,,,,,,,,,,,,,,
1990-02-26,,,,,,,,,,,,,,
1990-02-27,,,,,,,,,,,,,,
1990-02-28,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,,,
1990-03-02,,,,,,,,,,,,,,
1990-03-05,,,,,,,,,,,,,,
1990-03-06,,,,,,,,,,,,,,
1990-03-07,,,,,,,,,,,,,,
1990-03-08,,,,,,,,,,,,,,
1990-03-09,,,,,,,,,,,,,,
1990-03-12,,,,,,,,,,,,,,
1990-03-13,,,,,,,,,,,,,,
1990-03-14,,,,,,,,,,,,,,
1990-03-15,,,,,,,,,,,,,,
1990-03-16,,,,,,,,,,,,,,
1990-03-19,,,,,,,,,,,,,,
1990-03-20,,,,,,,,,,,,,,
1990-03-21,,,,,,,,,,,,,,
1990-03-22,,,,,,,,,,,,,,
1990-03-23,,,,,,,,,,,,,,
1990-03-26,,,,,,,,,,,,,,
1990-03-27,,,,,,,,,,,,,,
1990-03-28,,,,,,,,,,,,,,
1990-03-29,,,,,,,,,,,,,,
1990-03-30,,,,,,,,,,,,,,
1990-04-02,,,,,,,,,,,,,,
1990-04-03,,,,,,,,,,,,,,
1990-04-04,,,,,,,,,,,,,,
1990-04-05,,,,,,,,,,,,,,
1990-04-06,,,,,,,,,,,,,,
1990-04-09,,,,,,,,,,,,,,
1990-04-10,,,,,,,,,,,,,,
1990-04-11,,,,,,,,,,,,,,
1990-04-12,,,,,,,,,,,,,,
1990-04-13,,,,,,,,,,,,,,
1990-04-16,,,,,,,,,,,,,,
1990-04-17,,,,,,,,,,,,,,
1990-04-18,,,,,,,,,,,,,,
1990-04-19,,,,,,,,,,,,,,
1990-04-20,,,,,,,,,,,,,,
1990-04-23,,,,,,,,,,,,,,
1990-04-24,,,,,,,,,,,,,,
1990-04-25,,,,,,,,,,,,,,
1990-04-26,,,,,,,,,,,,,,
1990-04-27,,,,,,,,,,,,,,
1990-04-30,,,,,,,,,,,,,,
1990-05-01,,,,,,,,,,,,,,
1990-05-02,,,,,,,,,,,,,,
1990-05-03,,,,,,,,,,,,,,
1990-05-04,,,,,,,,,,,,,,
1990-05-07,,,,,,,,,,,,,,
1990-05-08,,,,,,,,,,,,,,
1990-05-09,,,,,,,,,,,,,,
1990-05-10,,,,,,,,,,,,,,
1990-05-11,,,,,,,,,,,,,,
1990-05-14,,,,,,,,,,,,,,
1990-05-15,,,,,,,,,,,,,,
1990-05-16,,,,,,,,,,,,,,
1990-05-17,,,,,,,,,,,,,,
1990-05-18,,,,,,,,,,,,,,
1990-05-21,,,,,,,,,,,,,,
1990-05-22,,,,,,,,,,,,,,
1990-05-23,,,,,,,,,,,,,,
1990-05-24,,,,,,,,,,,,,,
1990-05-25,,,,,,,,,,,,,,
1990-05-28,,,,,,,,,,,,,,
1990-05-29,,,,,,,,,,,,,,
1990-05-30,,,,,,,,,,,,,,
1990-05-31,,,,,,,,,,,,,,
1990-06-01,,,,,,,,,,,,,,
1990-06-04,,,,,,,,,,,,,,
1990-06-05,,,,,,,,,,,,,,
1990-06-06,,,,,,,,,,,,,,
1990-06-07,,,,,,,,,,,,,,
1990-06-08,,,,,,,,,,,,,,
1990-06-11,,,,,,,,,,,,,,
1990-06-12,,,,,,,,,,,,,,
1990-06-13,,,,,,,,,,,,,,
1990-06-14,,,,,,,,,,,,,,
1990-06-15,,,,,,,,,,,,,,
1990-06-18,,,,,,,,,,,,,,
1990-06-19,,,,,,,,,,,,,,
1990-06-20,,,,,,,,,,,,,,
1990-06-21,,,,,,,,,,,,,,
1990-06-22,,,,,,,,,,,,,,
1990-06-25,,,,,,,,,,,,,,
1990-06-26,,,,,,,,,,,,,,
1990-06-27,,,,,,,,,,,,,,
1990-06-28,,,,,,,,,,,,,,
1990-06-29,,,,,,,,,,,,,,
1990-07-02,,,,,,,,,,,,,,
1990-07-03,,,,,,,,,,,,,,
1990-07-04,,,,,,,,,,,,,,
1990-07-05,,,,,,,,,,,,,,
1990-07-06,,,,,,,,,,,,,,
1990-07-09,,,,,,,,,,,,,,
1990-07-10,,,,,,,,,,,,,,
1990-07-11,,,,,,,,,,,,,,
1990-07-12,,,,,,,,,,,,,,
1990-07-13,,,,,,,,,,,,,,
1990-07-16,,,,,,,,,,,,,,
1990-07-17,,,,,,,,,,,,,,
1990-07-18,,,,,,,,,,,,,,
1990-07-19,,,,,,,,,,,,,,
1990-07-20,,,,,,,,,,,,,,
1990-07-23,,,,,,,,,,,,,,
1990-07-24,,,,,,,,,,,,,,
1990-07-25,,,,,,,,,,,,,,
1990-07-26,,,,,,,,,,,,,,
1990-07-27,,,,,,,,,,,,,,
1990-07-30,,,,,,,,,,,,,,
1990-07-31,,,,,,,,,,,,,,
1990-08-01,,,,,,,,,,,,,,
1990-08-02,,,,,,,,,,,,,,
1990-08-03,,,,,,,,,,,,,,
1990-08-06,,,,,,,,,,,,,,
1990-08-07,,,,,,,,,,,,,,
1990-08-08,,,,,,,,,,,,,,
1990-08-09,,,,,,,,,,,,,,
1990-08-10,,,,,,,,,,,,,,
1990-08-13,,,,,,,,,,,,,,
1990-08-14,,,,,,,,,,,,,,
1990-08-15,,,,,,,,,,,,,,
1990-08-16,,,,,,,,,,,,,,
1990-08-17,,,,,,,,,,,,,,
1990-08-20,,,,,,,,,,,,,,
1990-08-21,,,,,,,,,,,,,,
1990-08-22,,,,,,,,,,,,,,
1990-08-23,,,,,,,,,,,,,,
1990-08-24,,,,,,,,,,,,,,
1990-08-27,,,,,,,,,,,,,,
1990-08-28,,,,,,,,,,,,,,
1990-08-29,,,,,,,,,,,,,,
1990-08-30,,,,,,,,,,,,,,
1990-08-31,,,,,,,,,,,,,,
1990-09-03,,,,,,,,,,,,,,
1990-09-04,,,,,,,,,,,,,,
1990-09-05,,,,,,,,,,,,,,
1990-09-06,,,,,,,,,,,,,,
1990-09-07,,,,,,,,,,,,,,
1990-09-10,,,,,,,,,,,,,,
1990-09-11,,,,,,,,,,,,,,
1990-09-12,,,,,,,,,,,,,,
1990-09-13,,,,,,,,,,,,,,
1990-09-14,,,,,,,,,,,,,,
1990-09-17,,,,,,,,,,,,,,
1990-09-18,,,,,,,,,,,,,,
1990-09-19,,,,,,,,,,,,,,
1990-09-20,,,,,,,,,,,,,,
1990-09-21,,,,,,,,,,,,,,
1990-09-24,,,,,,,,,,,,,,
1990-09-25,,,,,,,,,,,,,,
1990-09-26,,,,,,,,,,,,,,
1990-09-27,,,,,,,,,,,,,,
1990-09-28,,,,,,,,,,,,,,
1990-10-01,,,,,,,,,,,,,,
1990-10-02,,,,,,,,,,,,,,
1990-10-03,,,,,,,,,,,,,,
1990-10-04,,,,,,,,,,,,,,
1990-10-05,,,,,,,,,,,,,,
1990-10-08,,,,,,,,,,,,,,
1990-10-09,,,,,,,,,,,,,,
1990-10-10,,,,,,,,,,,,,,
1990-10-11,,,,,,,,,,,,,,
1990-10-12,,,,,,,,,,,,,,
1990-10-15,,,,,,,,,,,,,,
1990-10-16,,,,,,,,,,,,,,
1990-10-17,,,,,,,,,,,,,,
1990-10-18,,,,,,,,,,,,,,
1990-10-19,,,,,,,,,,,,,,
1990-10-22,,,,,,,,,,,,,,
1990-10-23,,,,,,,,,,,,,,
1990-10-24,,,,,,,,,,,,,,
1990-10-25,,,,,,,,,,,,,,
1990-10-26,,,,,,,,,,,,,,
1990-10-29,,,,,,,,,,,,,,
1990-10-30,,,,,,,,,,,,,,
1990-10-31,,,,,,,,,,,,,,
1990-11-01,,,,,,,,,,,,,,
1990-11-02,,,,,,,,,,,,,,
1990-11-05,,,,,,,,,,,,,,
1990-11-06,,,,,,,,,,,,,,
1990-11-07,,,,,,,,,,,,,,
1990-11-08,,,,,,,,,,,,,,
1990-11-09,,,,,,,,,,,,,,
1990-11-12,,,,,,,,,,,,,,
1990-11-13,,,,,,,,,,,,,,
1990-11-14,,,,,,,,,,,,,,
1990-11-15,,,,,,,,,,,,,,
1990-11-16,,,,,,,,,,,,,,
1990-11-19,,,,,,,,,,,,,,
1990-11-20,,,,,,,,,,,,,,
1990-11-21,,,,,,,,,,,,,,
1990-11-22,,,,,,,,,,,,,,
1990-11-23,,,,,,,,,,,,,,
1990-11-26,,,,,,,,,,,,,,
1990-11-27,,,,,,,,,,,,,,
1990-11-28,,,,,,,,,,,,,,
1990-11-29,,,,,,,,,,,,,,
1990-11-30,,,,,,,,,,,,,,
1990-12-03,,,,,,,,,,,,,,
1990-12-04,,,,,,,,,,,,,,
1990-12-05,,,,,,,,,,,,,,
